Date,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Description,State FIPS Code,County FIPS Code,Site Latitude,Site Longitude
8/25/2018,0.03,ppm,28,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/26/2018,0.022,ppm,20,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/27/2018,0.028,ppm,26,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/28/2018,0.025,ppm,23,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/29/2018,0.028,ppm,26,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/30/2018,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/31/2018,0.019,ppm,18,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/1/2018,0.028,ppm,26,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/2/2018,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/5/2018,0.023,ppm,21,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/6/2018,0.036,ppm,33,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/7/2018,0.036,ppm,33,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/8/2018,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/9/2018,0.03,ppm,28,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/10/2018,0.028,ppm,26,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/11/2018,0.036,ppm,33,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/12/2018,0.025,ppm,23,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/13/2018,0.028,ppm,26,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/14/2018,0.024,ppm,22,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/15/2018,0.022,ppm,20,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/16/2018,0.021,ppm,19,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/17/2018,0.021,ppm,19,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/18/2018,0.027,ppm,25,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/20/2018,0.03,ppm,28,Rosenstiel,13,76,Ozone,12,86,25.73287798,-80.16175011
9/21/2018,0.03,ppm,28,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/22/2018,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/23/2018,0.028,ppm,26,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/24/2018,0.029,ppm,27,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/25/2018,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/26/2018,0.019,ppm,18,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
9/27/2018,0.037,ppm,34,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
