STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,KA1,KA2,MA1,MD1,OC1,OD1,OD2,REM,EQD
01466099999,2024-01-14T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"130,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0104,1","-0114,1","09968,1","240,M,-0092,1","240,N,-0111,1","99999,9,09830,1","7,1,007,1,+999,9",,"3,99,0030,1,999",,SYN08201466 46/// /1301 11104 21114 39830 49968 57007 90300 333 11092 21111 90710 91103=,
01466099999,2024-01-14T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0078,1","-0083,1","09926,1","240,M,-0074,1","240,N,-0080,1","99999,9,09790,1","6,1,020,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11078 21083 39790 49926 56020 90900 333 11074 21080 90710 91101=,
01466099999,2024-01-14T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"240,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0037,1","-0046,1","09863,1","240,M,-0035,1","240,N,-0040,1","99999,9,09729,1","6,1,030,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /2401 11037 21046 39729 49863 56030 91500 333 11035 21040 90710 91102=,
01466099999,2024-01-14T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"010,1,N,0070,1","99999,9,9,N","999999,9,9,9","-0031,1","-0037,1","09866,1","240,M,-0023,1","240,N,-0032,1","99999,9,09733,1","3,1,024,1,+999,9",,"3,99,0130,1,999",,SYN08201466 46/// /0107 11031 21037 39733 49866 53024 92100 333 11023 21032 90710 91113=,
01466099999,2024-01-15T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"020,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0071,1","-0109,1","09904,1","240,M,-0062,1","240,N,-0071,1","99999,9,09769,1","1,1,010,1,+999,9",,"3,99,0090,1,999",,SYN08201466 46/// /0205 11071 21109 39769 49904 51010 90300 333 11062 21071 90710 91109=,
01466099999,2024-01-15T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0186,1","-0203,1","09953,1","240,M,-0176,1","240,N,-0199,1","99999,9,09811,1","2,1,026,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /0000 11186 21203 39811 49953 52026 90900 333 11176 21199 90710 91102=,
01466099999,2024-01-15T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0169,1","-0184,1","09971,1","240,M,-0133,1","240,N,-0170,1","99999,9,09829,1","3,1,012,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11169 21184 39829 49971 53012 91500 333 11133 21170 90710 91101=,
01466099999,2024-01-15T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0244,1","-0264,1","10015,1","240,M,-0238,1","240,N,-0250,1","99999,9,09868,1","2,1,019,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11244 21264 39868 40015 52019 92100 333 11238 21250 90710 91101=,
01466099999,2024-01-16T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0274,1","-0298,1","10030,1","240,M,-0272,1","240,N,-0284,1","99999,9,09881,1","2,1,003,1,+999,9",,"3,99,0000,1,999",,SYN08201466 46/// /0000 11274 21298 39881 40030 52003 90300 333 11272 21284 90710 91100=,
01466099999,2024-01-16T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0236,1","-0257,1","10022,1","240,M,-0235,1","240,N,-0244,1","99999,9,09875,1","8,1,003,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11236 21257 39875 40022 58003 90900 333 11235 21244 90710 91101=,
